Wavelength,HER20,HER21,HER23,HER24,HER25,HER27,HER28,HER29,HER30,HER32,HER34,HER46,HER47,HER48,EEA1,EEA3,EIS1,EIS2,EIS3,ESU1,ESU2,ESU3,ETH1,ETH2,ETH3,HY+,HY-
354,5,7,5,5,7,10,5,6,6,6,7,9,4,5,7,6,4,2,4,5,5,4,3,5,5,5,0
355,5,7,4,5,7,10,5,6,5,6,6,9,4,5,7,6,4,2,4,5,5,3,3,5,5,5,0
356,5,7,4,5,7,10,5,5,5,6,6,8,4,4,7,6,4,2,4,5,5,3,3,5,5,5,0
357,5,6,4,5,7,9,5,5,5,6,6,8,4,4,6,6,4,2,4,5,5,3,3,5,4,5,0
358,4,6,4,4,6,9,5,5,5,6,6,8,3,4,6,6,3,2,4,5,5,3,3,5,4,5,0
359,4,6,4,4,6,9,5,5,5,5,6,8,3,4,6,5,3,2,4,5,5,3,3,5,4,5,0
360,4,6,4,4,6,8,4,5,5,5,5,7,3,4,6,5,3,2,4,5,5,3,3,5,4,5,0
361,4,6,4,4,6,8,4,4,4,5,5,7,3,3,6,5,3,2,4,5,5,3,3,5,4,5,0
362,4,5,3,4,6,8,4,4,4,5,5,7,3,3,5,5,3,2,4,4,5,3,3,5,4,5,0
363,4,5,3,4,5,8,4,4,4,5,5,6,3,3,5,5,3,2,4,4,5,3,3,5,4,5,0
364,3,5,3,4,5,7,4,4,4,5,5,6,3,3,5,4,3,2,4,4,4,3,3,5,4,5,0
365,3,5,3,3,5,7,4,4,4,4,5,6,2,3,5,4,3,1,3,4,4,3,3,5,4,5,0
366,3,5,3,3,5,7,4,4,4,4,4,6,2,3,5,4,3,1,3,4,4,3,2,5,4,5,0
367,3,5,3,3,5,7,3,4,4,4,4,6,2,3,5,4,3,1,3,4,4,3,2,5,3,5,0
368,3,4,3,3,5,6,3,4,3,4,4,5,2,2,5,4,3,1,3,4,4,3,2,4,3,5,0
369,3,4,3,3,5,6,3,3,3,4,4,5,2,2,4,4,3,1,3,4,4,3,2,4,3,5,0
370,3,4,3,3,5,6,3,3,3,4,4,5,2,2,4,4,3,1,3,4,4,3,2,4,3,5,0
371,3,4,3,3,4,6,3,3,3,4,4,5,2,2,4,3,2,1,3,4,4,3,2,4,3,5,0
372,3,4,3,3,4,6,3,3,3,4,4,5,2,2,4,3,2,1,3,4,4,3,2,4,3,5,0
373,3,4,3,3,4,6,3,3,3,3,4,5,2,2,4,3,2,1,3,4,4,3,2,4,3,5,0
374,3,4,2,3,4,5,3,3,3,3,3,4,2,2,4,3,2,1,3,3,4,3,2,4,3,5,0
375,3,4,2,3,4,5,3,3,3,3,3,4,2,2,4,3,2,1,3,3,4,3,2,4,3,5,0
376,2,4,2,3,4,5,3,3,3,3,3,4,1,2,4,3,2,1,3,3,4,3,2,4,3,5,0
377,2,4,2,3,4,5,3,3,3,3,3,4,1,2,4,3,2,1,3,3,4,3,2,4,3,5,0
378,2,3,2,3,4,5,3,3,3,3,3,4,1,2,4,3,2,1,3,3,4,3,2,4,3,5,0
379,2,3,2,3,4,5,3,3,3,3,3,4,1,2,3,3,2,1,3,3,4,3,2,4,3,5,0
380,2,3,2,2,4,5,3,3,3,3,3,4,1,2,3,3,2,1,3,3,4,3,2,4,3,5,0
381,2,3,2,2,4,4,3,3,3,3,3,4,1,1,3,3,2,1,3,3,4,3,2,4,3,5,0
382,2,3,2,2,4,4,3,3,3,3,3,4,1,1,3,2,2,1,3,3,4,3,2,4,3,5,0
383,2,3,2,2,4,4,3,3,2,3,3,3,1,1,3,2,2,1,3,3,3,3,2,4,3,5,0
384,2,3,2,2,4,4,2,2,2,3,3,3,1,1,3,2,2,1,2,3,3,3,2,4,2,5,0
385,2,3,2,2,4,4,2,2,2,3,3,3,1,1,3,2,2,1,2,3,3,3,2,4,2,5,0
386,2,3,2,2,4,4,2,2,2,3,3,3,1,1,3,2,2,1,2,3,3,3,2,4,2,5,0
387,2,3,2,2,4,4,2,2,2,3,3,3,1,1,3,2,2,1,2,3,3,3,2,4,2,5,0
388,2,3,2,2,4,4,2,2,2,3,3,3,1,1,3,2,2,1,2,3,3,3,2,4,2,5,0
389,2,3,2,2,3,4,2,2,2,3,3,3,1,1,3,2,2,1,2,3,3,3,2,4,2,5,0
390,2,3,2,2,3,4,2,2,2,3,3,3,1,1,3,2,2,1,2,3,3,3,2,4,2,5,0
